indice_tiempo,tasas_interes_plazo_fijo_30_59_dias,instr_bcra_tasa_politica_monetaria
1996-01-01,8.615811888,
1996-02-01,7.621401785,
1996-03-01,7.274121729,
1996-04-01,7.106231385,
1996-05-01,6.662615344,
1996-06-01,6.547124477,
1996-07-01,6.665154664,
1996-08-01,7.445928472,
1996-09-01,7.763739162,
1996-10-01,7.441919765,
1996-11-01,7.530480397,
1996-12-01,7.59668891,
1997-01-01,7.332479252,
1997-02-01,6.915462161,
1997-03-01,6.772887432,
1997-04-01,6.66688832,
1997-05-01,6.494718992,
1997-06-01,6.431307055,
1997-07-01,6.415065168,
1997-08-01,6.378359044,
1997-09-01,6.432636941,
1997-10-01,6.703925684,
1997-11-01,8.775869161,
1997-12-01,8.283536091,
1998-01-01,7.710087208,
1998-02-01,6.807934617,
1998-03-01,6.756438414,
1998-04-01,6.687877984,
1998-05-01,6.683091012,
1998-06-01,6.633780681,
1998-07-01,6.714727517,
1998-08-01,7.22993192,
1998-09-01,10.34260949,
1998-10-01,9.163838889,
1998-11-01,7.974690097,
1998-12-01,8.052714914,
1999-01-01,9.184816569,
1999-02-01,8.309844386,
1999-03-01,6.843682909,
1999-04-01,6.082812435,
1999-05-01,6.294578747,
1999-06-01,7.459843746,
1999-07-01,7.659502485,
1999-08-01,7.64044651,
1999-09-01,8.043365226,
1999-10-01,9.364758172,
1999-11-01,9.424236575,
1999-12-01,10.28093479,
2000-01-01,7.861876777,
2000-02-01,8.243697841,
2000-03-01,7.286366087,
2000-04-01,7.218991197,
2000-05-01,8.053684515,
2000-06-01,7.618631434,
2000-07-01,7.345645455,
2000-08-01,7.245292989,
2000-09-01,7.863848609,
2000-10-01,8.439646898,
2000-11-01,10.61813932,
2000-12-01,12.2587189,
2001-01-01,8.658241777,
2001-02-01,6.56311688,
2001-03-01,10.8139614,
2001-04-01,13.72046492,
2001-05-01,13.56842742,
2001-06-01,10.9604819,
2001-07-01,21.2168362,
2001-08-01,25.82244949,
2001-09-01,21.56187549,
2001-10-01,21.71821321,
2001-11-01,31.93656831,
2001-12-01,7.422532916,
2002-01-01,5.526366849,
2002-02-01,7.606822089,
2002-03-01,15.04858574,
2002-04-01,45.99900429,
2002-05-01,64.57505507,
2002-06-01,72.1656262,
2002-07-01,76.70114608,
2002-08-01,65.04647934,
2002-09-01,44.46476429,
2002-10-01,34.1268122,
2002-11-01,19.00524091,
2002-12-01,20.71544675,
2003-01-01,17.02568373,
2003-02-01,17.54656456,
2003-03-01,20.25923013,
2003-04-01,19.40184528,
2003-05-01,12.57623168,
2003-06-01,9.644619781,
2003-07-01,5.574778398,
2003-08-01,4.080424084,
2003-09-01,4.078919721,
2003-10-01,4.139863982,
2003-11-01,4.133422713,
2003-12-01,3.466824083,
2004-01-01,2.615662273,
2004-02-01,2.233405649,
2004-03-01,2.230075542,
2004-04-01,2.094463338,
2004-05-01,2.451556458,
2004-06-01,2.443541321,
2004-07-01,2.500406232,
2004-08-01,2.790500283,
2004-09-01,2.94,
2004-10-01,3.06,
2004-11-01,3.01,
2004-12-01,3.01,
2005-01-01,2.841759356,
2005-02-01,2.721522671,
2005-03-01,2.782889763,
2005-04-01,3.12612884,
2005-05-01,3.668817403,
2005-06-01,3.810830279,
2005-07-01,4.210428461,
2005-08-01,4.05512533,
2005-09-01,4.109657977,
2005-10-01,4.291619874,
2005-11-01,4.480454863,
2005-12-01,5.048641763,
2006-01-01,5.542635792,
2006-02-01,5.514558155,
2006-03-01,5.821671097,
2006-04-01,6.37196382,
2006-05-01,6.567308945,
2006-06-01,6.614632299,
2006-07-01,6.784708308,
2006-08-01,6.954334165,
2006-09-01,6.882389669,
2006-10-01,6.697643148,
2006-11-01,6.8249448,
2006-12-01,6.479692859,
2007-01-01,7.41678759,
2007-02-01,7.029978387,
2007-03-01,7.12069233,
2007-04-01,7.062605026,
2007-05-01,6.821975293,
2007-06-01,6.738384335,
2007-07-01,6.998986865,
2007-08-01,8.306373815,
2007-09-01,9.686194976,
2007-10-01,9.5693455,
2007-11-01,9.293046467,
2007-12-01,9.615216493,
2008-01-01,8.760481545,
2008-02-01,7.976221115,
2008-03-01,8.031319097,
2008-04-01,8.04258662,
2008-05-01,9.660243073,
2008-06-01,13.00863955,
2008-07-01,11.78448285,
2008-08-01,10.19021266,
2008-09-01,10.84015563,
2008-10-01,11.86543419,
2008-11-01,16.3241191,
2008-12-01,16.10805279,
2009-01-01,14.22783236,
2009-02-01,11.6335166,
2009-03-01,11.68483312,
2009-04-01,11.82380815,
2009-05-01,11.79705655,
2009-06-01,12.00687719,
2009-07-01,12.18333333,
2009-08-01,11.9985,
2009-09-01,11.54227273,
2009-10-01,11.19954545,
2009-11-01,10.449,
2009-12-01,9.593809524,
2010-01-01,9.528,
2010-02-01,9.3335,
2010-03-01,9.178636364,
2010-04-01,8.977,
2010-05-01,8.894736842,
2010-06-01,9.307142857,
2010-07-01,9.28952381,
2010-08-01,9.38952381,
2010-09-01,9.445909091,
2010-10-01,9.385263158,
2010-11-01,9.391904762,
2010-12-01,9.7925,
2011-01-01,9.829047619,
2011-02-01,9.6095,
2011-03-01,9.618421053,
2011-04-01,9.633684211,
2011-05-01,9.832380952,
2011-06-01,9.84,
2011-07-01,9.95952381,
2011-08-01,10.36727273,
2011-09-01,10.72363636,
2011-10-01,12.3255,
2011-11-01,14.94333333,
2011-12-01,14.81947368,
2012-01-01,12.92619048,
2012-02-01,12.48666667,
2012-03-01,11.86681818,
2012-04-01,11.28235294,
2012-05-01,11.44142857,
2012-06-01,11.505,
2012-07-01,11.75761905,
2012-08-01,11.905,
2012-09-01,12.29789474,
2012-10-01,12.47409091,
2012-11-01,13.1715,
2012-12-01,13.87842105,
2013-01-01,13.44380952,
2013-02-01,13.25823529,
2013-03-01,13.72105263,
2013-04-01,13.897,
2013-05-01,14.86045455,
2013-06-01,15.20166667,
2013-07-01,15.05045455,
2013-08-01,15.4,
2013-09-01,15.64761905,
2013-10-01,16.00818182,
2013-11-01,16.62157895,
2013-12-01,18.13421053,
2014-01-01,19.22136364,
2014-02-01,22.437,
2014-03-01,22.90444444,
2014-04-01,23.13526316,
2014-05-01,22.158,
2014-06-01,21.2735,
2014-07-01,20.58954545,
2014-08-01,19.97904762,
2014-09-01,19.38727273,
2014-10-01,19.835,
2014-11-01,20.28,
2014-12-01,20.49684211,
2015-01-01,19.91285714,
2015-02-01,20.33111111,
2015-03-01,20.8395,
2015-04-01,20.832,
2015-05-01,21.11421053,
2015-06-01,20.78227273,
2015-07-01,20.68318182,
2015-08-01,21.2495,
2015-09-01,21.52909091,
2015-10-01,21.86714286,
2015-11-01,23.81473684,
2015-12-01,26.755,
2016-01-01,25.727,31.187525
2016-02-01,25.03105263,30.95941579
2016-03-01,27.58818182,37.77314091
2016-04-01,28.45047619,38.0008
2016-05-01,28.7152381,36.58346667
2016-06-01,27.4395,32.46238
2016-07-01,24.9525,30.274825
2016-08-01,23.55136364,29.26157727
2016-09-01,21.78545455,27.22756818
2016-10-01,20.9105,26.75
2016-11-01,19.8847619,26.01190476
2016-12-01,18.955,24.75
2017-01-01,18.52363636,24.75
2017-02-01,18.55833333,24.75
2017-03-01,18.12636364,24.75
2017-04-01,17.83333333,25.66666667
2017-05-01,18.12809524,26.25
2017-06-01,18.27428571,26.25
2017-07-01,18.44761905,26.25
2017-08-01,18.88954545,26.25
2017-09-01,19.36714286,26.25
2017-10-01,19.79666667,26.25
2017-11-01,20.901,28.5
2017-12-01,21.74631579,28.75
2018-01-01,21.67363636,28
2018-02-01,21.43166667,27.25
2018-03-01,21.229,27.25
2018-04-01,21.42947368,27.40789474
2018-05-01,25.26666667,39.21428571
2018-06-01,27.622,40
2018-07-01,32.13,40
2018-08-01,32.70545455,44.54545455
2018-09-01,38.6745,60.25
2018-10-01,47.41772727,71.59054545
2018-11-01,48.31105263,64.06121053
2018-12-01,46.55111111,59.35505556
2019-01-01,44.31727273,57.41804545
2019-02-01,37.56,47.56885
2019-03-01,39.61157895,62.42821053
2019-04-01,46.48473684,68.45568421
2019-05-01,50.46318182,71.78727273
2019-06-01,49.90444444,66.78172222
2019-07-01,47.45428571,59.62490476
2019-08-01,53.3747619,71.25595238
2019-09-01,58.1047619,83.51166667
2019-10-01,54.46409091,70.13940909
2019-11-01,45.39473684,63.53805263
2019-12-01,41.40684211,61.36852632
2020-01-01,35.20636364,51.81818182
2020-02-01,32.56777778,45.44444444
2020-03-01,28.50210526,38.63157895
2020-04-01,21.1835,38
2020-05-01,23.51315789,38
2020-06-01,28.43142857,38
2020-07-01,28.34428571,38
2020-08-01,29.2555,38
2020-09-01,29.33227273,38
2020-10-01,30.08761905,36.9047619
2020-11-01,32.18789474,36.94736842
2020-12-01,33.38888889,38
2021-01-01,33.484,38
2021-02-01,33.45,38
2021-03-01,33.45454545,38
2021-04-01,33.5095,38
2021-05-01,33.27105263,38
2021-06-01,33.59904762,38
2021-07-01,33.61952381,38
2021-08-01,33.46380952,38
2021-09-01,33.61272727,38
2021-10-01,33.64526316,38
2021-11-01,33.44095238,38
2021-12-01,33.5175,38
2022-01-01,36.03190476,39.71428571
2022-02-01,37.24473684,40.92105263
2022-03-01,39.37190476,43.16666667
2022-04-01,42.24894737,45.94736842
2022-05-01,44.3265,48.2
2022-06-01,47.0095,50.35
2022-07-01,50.1252381,52.76190476
2022-08-01,59.77318182,66.04545455
2022-09-01,65.69714286,72.64285714
2022-10-01,68.56631579,75
2022-11-01,68.38904762,75
2022-12-01,68.7515,75
2023-01-01,68.94136364,75
2023-02-01,69.00833333,75
2023-03-01,70.21681818,76.5
