Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2023,6.03,6.63,7.68,8.4,,,,,,,,
2022,3.88,4.69,6.73,6.05,5.05,5.3,7.41,6.97,6.17,6.35,4.92,5.12
2021,4.04,3.57,4.81,4.08,3.32,3.17,3,2.47,3.55,3.52,2.53,3.84
2020,2.25,2.01,3.34,1.5,1.54,2.24,1.93,2.7,2.84,3.76,3.16,4.01
2019,2.91,3.77,4.68,3.44,3.06,2.72,2.2,3.95,5.89,3.29,4.25,3.74
2018,1.76,2.42,2.34,2.74,2.08,3.74,3.1,3.89,6.53,5.39,3.15,2.57
2017,1.59,2.07,2.37,2.66,1.43,1.19,1.73,1.4,1.9,1.51,1.38,3.14
2016,9,5,2.4,1.5,3.6,2.9,2.7,0.4,0.4,0.6,1.1,0.8
2015,0.2,0.25,0.98,0.74,1.48,1.32,1.44,1.33,1.35,0.93,2,3.9
2014,4.95,5.12,2.43,1.72,1.87,1.51,1.35,1.63,1.59,1.23,0.91,0.95
2013,1.02,1.06,1.01,0.96,1.26,1.35,1.13,1.13,1.09,1.14,1.22,1.49
2012,0.96,0.99,1.18,1.13,1.02,0.99,0.97,1.03,1.11,1.03,1,0.97
2011,1.09,0.93,0.96,1,1.03,1.14,1.01,1.02,1.03,0.91,0.95,0.92
