Year,Month,Day,buy_price,sell_price
2023,5,24,487,492
2023,5,23,485,490
2023,5,22,481,486
2023,5,19,483,488
2023,5,18,482,487
2023,5,17,483,488
2023,5,16,478,483
2023,5,15,469,474
2023,5,12,470,475
2023,5,11,467,472
2023,5,10,466,471
2023,5,9,465,470
2023,5,8,464,469
2023,5,5,463,468
2023,5,4,464,469
2023,5,3,467,472
2023,5,3,469,474
2023,5,2,464,469
2023,4,27,462,467
2023,4,26,469,474
2023,4,25,490,495
2023,4,24,457,462
2023,4,21,437,442
2023,4,20,427,432
2023,4,19,418,423
2023,4,18,413,418
2023,4,17,403,408
2023,4,14,396,400
2023,4,13,394,398
2023,4,12,390,394
2023,4,11,387,391
2023,4,10,388,392
2023,4,5,388,392
2023,4,4,388,392
2023,4,3,391,395
2023,3,31,388,393
2023,3,30,389,393
2023,3,29,393,397
2023,3,28,386,390
2023,3,28,386,390
2023,3,27,385,389
2023,3,23,387,391
2023,3,22,390,394
2023,3,21,382,386
2023,3,20,379,383
2023,3,17,379,383
2023,3,16,375,379
2023,3,15,373,377
2023,3,14,373,377
2023,3,13,369,373
2023,3,10,369,373
2023,3,9,374,378
2023,3,8,367,371
2023,3,7,368,372
2023,3,6,371,375
2023,3,3,373,377
2023,3,2,371,375
2023,3,1,371,375
2023,2,28,373,377
2023,2,27,375,379
2023,2,24,375,379
2023,2,23,373,377
2023,2,22,373,377
2023,2,17,373,377
2023,2,16,374,378
2023,2,15,375,379
2023,2,14,375,379
2023,2,13,373,377
2023,2,10,375,379
2023,2,9,377,381
2023,2,7,373,377
2023,2,6,369,373
2023,2,3,374,378
2023,2,2,373,377
2023,2,1,377,381
2023,1,31,379,383
2023,1,30,382,386
2023,1,27,381,385
2023,1,26,379,383
2023,1,25,377,381
2023,1,24,372,376
2023,1,23,372,376
2023,1,20,370,374
2023,1,19,373,377
2023,1,18,374,378
2023,1,17,366,370
2023,1,16,365,369
2023,1,13,365,369
2023,1,12,357,361
2023,1,11,355,359
2023,1,10,353,357
2023,1,9,351,355
2023,1,6,350,354
2023,1,5,349,353
2023,1,4,350,354
2023,1,3,350,354
2023,1,2,342,346
2022,12,30,342,346
2022,12,29,346,350
2022,12,28,353,357
2022,12,27,352,356
2022,12,26,342,346
2022,12,23,336,340
2022,12,22,326,330
2022,12,21,321,325
2022,12,20,322,326
2022,12,19,321,325
2022,12,16,317,321
2022,12,15,316,320
2022,12,14,316,320
2022,12,13,311,315
2022,12,12,308,312
2022,12,7,312,316
2022,12,6,311,315
2022,12,5,308,312
2022,12,2,308,312
2022,12,1,309,313
2022,11,30,310,314
2022,11,29,311,315
2022,11,28,314,318
2022,11,25,316,320
2022,11,24,315,319
2022,11,23,308,312
2022,11,22,304,308
2022,11,18,302,306
2022,11,18,303,307
2022,11,18,303,307
2022,11,17,303,307
2022,11,16,304,308
2022,11,15,298,302
2022,11,14,290,294
2022,11,11,289,293
2022,11,10,288,292
2022,11,9,288,292
2022,11,8,287,291
2022,11,7,286,290
2022,11,4,285,289
2022,11,3,283,287
2022,11,2,287,291
2022,11,1,286,290
