date,last_price,open_price,max_price,min_price,avg_price
5/1/2023,226.2,222.5,226.7,222.5,224.4
4/1/2023,222.6,208.9,222.7,208.9,215.8
3/1/2023,209,197.6,209,197.2,203.3
2/1/2023,197.2,186.9,197.2,186.9,192
1/1/2023,187,177.6,187,177.6,182.3
12/1/2022,176.7,167.2,177.1,167.2,172
11/1/2022,167.3,156.8,167.4,156.8,162.1
10/1/2022,156.9,147.3,156.9,147.3,152.1
9/1/2022,147.3,138.7,147.3,138.7,143
8/1/2022,138.7,131.2,138.8,131.2,135
7/1/2022,131.3,125.4,131.3,125.4,128.3
6/1/2022,125.2,120.1,125.2,120.1,122.7
5/1/2022,120.2,115.3,120.2,115.3,117.7
4/1/2022,115.3,111,115.3,111,113.1
3/1/2022,111,107.4,111.1,107.4,109.2
2/1/2022,107.4,105.1,107.5,105,106.2
1/1/2022,105,103.1,105,102.7,104
12/1/2021,102.7,100.9,102.8,100.9,101.8
11/1/2021,100.9,99.6,101,99.6,100.3
10/1/2021,99.6,98.7,99.7,98.7,99.1
9/1/2021,98.7,97.7,98.8,97.7,98.2
8/1/2021,97.7,96.6,97.8,96.6,97.2
7/1/2021,96.7,95.6,96.7,95.6,96.2
6/1/2021,95.7,94.6,95.8,94.6,95.2
5/1/2021,94.5,93.5,94.7,93.3,94
4/1/2021,93.4,91.9,93.6,91.4,92.6
3/1/2021,92,89.7,92.1,89.7,90.9
2/1/2021,89.8,87.5,89.8,87.3,88.6
1/1/2021,87.3,84.1,87.3,84.1,85.7
12/1/2020,84.1,81.3,84.2,81.2,82.7
11/1/2020,81.3,78.2,81.6,78.2,79.8
10/1/2020,78.3,76.2,78.4,76.1,77.3
9/1/2020,76.2,74.1,76.2,74.1,75.2
8/1/2020,74,72.2,74.2,72.2,73.1
7/1/2020,72.3,70.5,72.3,70.4,71.4
6/1/2020,70.3,68.5,70.5,68.4,69.4
5/1/2020,68.4,66.8,68.5,66,67.6
4/1/2020,66.8,64.4,66.9,64.2,65.6
3/1/2020,64.2,62.1,64.6,62.1,63.2
2/1/2020,62.1,60,62.3,60,61.1
1/1/2020,60.3,59.8,60.4,59.6,60
12/1/2019,59.9,59.8,60.2,59.6,59.9
11/1/2019,59.9,59.6,60,59.4,59.7
10/1/2019,59.6,57.6,63.5,57.5,58.6
9/1/2019,57.6,59.5,60.5,53.7,58.5
8/1/2019,59.5,43.8,63.5,43.8,51.7
7/1/2019,43.8,42.5,44,41.5,43.1
6/1/2019,42.5,44.8,45.2,42.1,43.6
5/1/2019,44.7,44.3,45.9,44.2,44.5
4/1/2019,44.2,43.4,46.5,41.3,43.8
3/1/2019,43.3,39.1,44,39.1,41.2
2/1/2019,39.1,37.3,40.7,36.8,38.2
1/1/2019,37.3,37.7,38.3,36.7,37.5
12/1/2018,37.6,37.3,38.8,36.3,37.4
11/1/2018,37.7,35.9,39.3,35.2,36.8
10/1/2018,35.9,41.3,41.3,35.4,38.6
9/1/2018,41.3,37.3,41.8,36.1,39.3
8/1/2018,36.8,27.6,41.8,27.1,32.2
7/1/2018,27.4,28.9,29,27,28.2
6/1/2018,28.9,25,29.7,24.8,26.9
5/1/2018,24.9,20.5,25,20.5,22.7
4/1/2018,20.5,20.1,20.9,20.1,20.3
3/1/2018,20.1,20.2,20.5,20.1,20.2
2/1/2018,20.1,19.6,20.3,19.3,19.8
