indice_tiempo,tasas_interes_plazo_fijo_30_59_dias,instr_bcra_tasa_politica_monetaria
1/1/1996,8.615811888,
2/1/1996,7.621401785,
3/1/1996,7.274121729,
4/1/1996,7.106231385,
5/1/1996,6.662615344,
6/1/1996,6.547124477,
7/1/1996,6.665154664,
8/1/1996,7.445928472,
9/1/1996,7.763739162,
10/1/1996,7.441919765,
11/1/1996,7.530480397,
12/1/1996,7.59668891,
1/1/1997,7.332479252,
2/1/1997,6.915462161,
3/1/1997,6.772887432,
4/1/1997,6.66688832,
5/1/1997,6.494718992,
6/1/1997,6.431307055,
7/1/1997,6.415065168,
8/1/1997,6.378359044,
9/1/1997,6.432636941,
10/1/1997,6.703925684,
11/1/1997,8.775869161,
12/1/1997,8.283536091,
1/1/1998,7.710087208,
2/1/1998,6.807934617,
3/1/1998,6.756438414,
4/1/1998,6.687877984,
5/1/1998,6.683091012,
6/1/1998,6.633780681,
7/1/1998,6.714727517,
8/1/1998,7.22993192,
9/1/1998,10.34260949,
10/1/1998,9.163838889,
11/1/1998,7.974690097,
12/1/1998,8.052714914,
1/1/1999,9.184816569,
2/1/1999,8.309844386,
3/1/1999,6.843682909,
4/1/1999,6.082812435,
5/1/1999,6.294578747,
6/1/1999,7.459843746,
7/1/1999,7.659502485,
8/1/1999,7.64044651,
9/1/1999,8.043365226,
10/1/1999,9.364758172,
11/1/1999,9.424236575,
12/1/1999,10.28093479,
1/1/2000,7.861876777,
2/1/2000,8.243697841,
3/1/2000,7.286366087,
4/1/2000,7.218991197,
5/1/2000,8.053684515,
6/1/2000,7.618631434,
7/1/2000,7.345645455,
8/1/2000,7.245292989,
9/1/2000,7.863848609,
10/1/2000,8.439646898,
11/1/2000,10.61813932,
12/1/2000,12.2587189,
1/1/2001,8.658241777,
2/1/2001,6.56311688,
3/1/2001,10.8139614,
4/1/2001,13.72046492,
5/1/2001,13.56842742,
6/1/2001,10.9604819,
7/1/2001,21.2168362,
8/1/2001,25.82244949,
9/1/2001,21.56187549,
10/1/2001,21.71821321,
11/1/2001,31.93656831,
12/1/2001,7.422532916,
1/1/2002,5.526366849,
2/1/2002,7.606822089,
3/1/2002,15.04858574,
4/1/2002,45.99900429,
5/1/2002,64.57505507,
6/1/2002,72.1656262,
7/1/2002,76.70114608,
8/1/2002,65.04647934,
9/1/2002,44.46476429,
10/1/2002,34.1268122,
11/1/2002,19.00524091,
12/1/2002,20.71544675,
1/1/2003,17.02568373,
2/1/2003,17.54656456,
3/1/2003,20.25923013,
4/1/2003,19.40184528,
5/1/2003,12.57623168,
6/1/2003,9.644619781,
7/1/2003,5.574778398,
8/1/2003,4.080424084,
9/1/2003,4.078919721,
10/1/2003,4.139863982,
11/1/2003,4.133422713,
12/1/2003,3.466824083,
1/1/2004,2.615662273,
2/1/2004,2.233405649,
3/1/2004,2.230075542,
4/1/2004,2.094463338,
5/1/2004,2.451556458,
6/1/2004,2.443541321,
7/1/2004,2.500406232,
8/1/2004,2.790500283,
9/1/2004,2.94,
10/1/2004,3.06,
11/1/2004,3.01,
12/1/2004,3.01,
1/1/2005,2.841759356,
2/1/2005,2.721522671,
3/1/2005,2.782889763,
4/1/2005,3.12612884,
5/1/2005,3.668817403,
6/1/2005,3.810830279,
7/1/2005,4.210428461,
8/1/2005,4.05512533,
9/1/2005,4.109657977,
10/1/2005,4.291619874,
11/1/2005,4.480454863,
12/1/2005,5.048641763,
1/1/2006,5.542635792,
2/1/2006,5.514558155,
3/1/2006,5.821671097,
4/1/2006,6.37196382,
5/1/2006,6.567308945,
6/1/2006,6.614632299,
7/1/2006,6.784708308,
8/1/2006,6.954334165,
9/1/2006,6.882389669,
10/1/2006,6.697643148,
11/1/2006,6.8249448,
12/1/2006,6.479692859,
1/1/2007,7.41678759,
2/1/2007,7.029978387,
3/1/2007,7.12069233,
4/1/2007,7.062605026,
5/1/2007,6.821975293,
6/1/2007,6.738384335,
7/1/2007,6.998986865,
8/1/2007,8.306373815,
9/1/2007,9.686194976,
10/1/2007,9.5693455,
11/1/2007,9.293046467,
12/1/2007,9.615216493,
1/1/2008,8.760481545,
2/1/2008,7.976221115,
3/1/2008,8.031319097,
4/1/2008,8.04258662,
5/1/2008,9.660243073,
6/1/2008,13.00863955,
7/1/2008,11.78448285,
8/1/2008,10.19021266,
9/1/2008,10.84015563,
10/1/2008,11.86543419,
11/1/2008,16.3241191,
12/1/2008,16.10805279,
1/1/2009,14.22783236,
2/1/2009,11.6335166,
3/1/2009,11.68483312,
4/1/2009,11.82380815,
5/1/2009,11.79705655,
6/1/2009,12.00687719,
7/1/2009,12.18333333,
8/1/2009,11.9985,
9/1/2009,11.54227273,
10/1/2009,11.19954545,
11/1/2009,10.449,
12/1/2009,9.593809524,
1/1/2010,9.528,
2/1/2010,9.3335,
3/1/2010,9.178636364,
4/1/2010,8.977,
5/1/2010,8.894736842,
6/1/2010,9.307142857,
7/1/2010,9.28952381,
8/1/2010,9.38952381,
9/1/2010,9.445909091,
10/1/2010,9.385263158,
11/1/2010,9.391904762,
12/1/2010,9.7925,
1/1/2011,9.829047619,
2/1/2011,9.6095,
3/1/2011,9.618421053,
4/1/2011,9.633684211,
5/1/2011,9.832380952,
6/1/2011,9.84,
7/1/2011,9.95952381,
8/1/2011,10.36727273,
9/1/2011,10.72363636,
10/1/2011,12.3255,
11/1/2011,14.94333333,
12/1/2011,14.81947368,
1/1/2012,12.92619048,
2/1/2012,12.48666667,
3/1/2012,11.86681818,
4/1/2012,11.28235294,
5/1/2012,11.44142857,
6/1/2012,11.505,
7/1/2012,11.75761905,
8/1/2012,11.905,
9/1/2012,12.29789474,
10/1/2012,12.47409091,
11/1/2012,13.1715,
12/1/2012,13.87842105,
1/1/2013,13.44380952,
2/1/2013,13.25823529,
3/1/2013,13.72105263,
4/1/2013,13.897,
5/1/2013,14.86045455,
6/1/2013,15.20166667,
7/1/2013,15.05045455,
8/1/2013,15.4,
9/1/2013,15.64761905,
10/1/2013,16.00818182,
11/1/2013,16.62157895,
12/1/2013,18.13421053,
1/1/2014,19.22136364,
2/1/2014,22.437,
3/1/2014,22.90444444,
4/1/2014,23.13526316,
5/1/2014,22.158,
6/1/2014,21.2735,
7/1/2014,20.58954545,
8/1/2014,19.97904762,
9/1/2014,19.38727273,
10/1/2014,19.835,
11/1/2014,20.28,
12/1/2014,20.49684211,
1/1/2015,19.91285714,
2/1/2015,20.33111111,
3/1/2015,20.8395,
4/1/2015,20.832,
5/1/2015,21.11421053,
6/1/2015,20.78227273,
7/1/2015,20.68318182,
8/1/2015,21.2495,
9/1/2015,21.52909091,
10/1/2015,21.86714286,
11/1/2015,23.81473684,
12/1/2015,26.755,
1/1/2016,25.727,31.187525
2/1/2016,25.03105263,30.95941579
3/1/2016,27.58818182,37.77314091
4/1/2016,28.45047619,38.0008
5/1/2016,28.7152381,36.58346667
6/1/2016,27.4395,32.46238
7/1/2016,24.9525,30.274825
8/1/2016,23.55136364,29.26157727
9/1/2016,21.78545455,27.22756818
10/1/2016,20.9105,26.75
11/1/2016,19.8847619,26.01190476
12/1/2016,18.955,24.75
1/1/2017,18.52363636,24.75
2/1/2017,18.55833333,24.75
3/1/2017,18.12636364,24.75
4/1/2017,17.83333333,25.66666667
5/1/2017,18.12809524,26.25
6/1/2017,18.27428571,26.25
7/1/2017,18.44761905,26.25
8/1/2017,18.88954545,26.25
9/1/2017,19.36714286,26.25
10/1/2017,19.79666667,26.25
11/1/2017,20.901,28.5
12/1/2017,21.74631579,28.75
1/1/2018,21.67363636,28
2/1/2018,21.43166667,27.25
3/1/2018,21.229,27.25
4/1/2018,21.42947368,27.40789474
5/1/2018,25.26666667,39.21428571
6/1/2018,27.622,40
7/1/2018,32.13,40
8/1/2018,32.70545455,44.54545455
9/1/2018,38.6745,60.25
10/1/2018,47.41772727,71.59054545
11/1/2018,48.31105263,64.06121053
12/1/2018,46.55111111,59.35505556
1/1/2019,44.31727273,57.41804545
2/1/2019,37.56,47.56885
3/1/2019,39.61157895,62.42821053
4/1/2019,46.48473684,68.45568421
5/1/2019,50.46318182,71.78727273
6/1/2019,49.90444444,66.78172222
7/1/2019,47.45428571,59.62490476
8/1/2019,53.3747619,71.25595238
9/1/2019,58.1047619,83.51166667
10/1/2019,54.46409091,70.13940909
11/1/2019,45.39473684,63.53805263
12/1/2019,41.40684211,61.36852632
1/1/2020,35.20636364,51.81818182
2/1/2020,32.56777778,45.44444444
3/1/2020,28.50210526,38.63157895
4/1/2020,21.1835,38
5/1/2020,23.51315789,38
6/1/2020,28.43142857,38
7/1/2020,28.34428571,38
8/1/2020,29.2555,38
9/1/2020,29.33227273,38
10/1/2020,30.08761905,36.9047619
11/1/2020,32.18789474,36.94736842
12/1/2020,33.38888889,38
1/1/2021,33.484,38
2/1/2021,33.45,38
3/1/2021,33.45454545,38
4/1/2021,33.5095,38
5/1/2021,33.27105263,38
6/1/2021,33.59904762,38
7/1/2021,33.61952381,38
8/1/2021,33.46380952,38
9/1/2021,33.61272727,38
10/1/2021,33.64526316,38
11/1/2021,33.44095238,38
12/1/2021,33.5175,38
1/1/2022,36.03190476,39.71428571
2/1/2022,37.24473684,40.92105263
3/1/2022,39.37190476,43.16666667
4/1/2022,42.24894737,45.94736842
5/1/2022,44.3265,48.2
6/1/2022,47.0095,50.35
7/1/2022,50.1252381,52.76190476
8/1/2022,59.77318182,66.04545455
9/1/2022,65.69714286,72.64285714
10/1/2022,68.56631579,75
11/1/2022,68.38904762,75
12/1/2022,68.7515,75
1/1/2023,68.94136364,75
2/1/2023,69.00833333,75
3/1/2023,70.21681818,76.5
4/1/2023,73.58944444,80.27777778
